City_ID,City,Country,MaxTemp,Current Description,Lat,Lon,Hotel Name
10,Tuktoyaktuk,CA,53.6,broken clouds,69.4541,-133.0374,Smitty's Bed and Breakfast
13,Busselton,AU,53.82,clear sky,-33.65,115.3333,Esplanade Hotel
14,Sitka,US,67.89,overcast clouds,57.0531,-135.33,Sitka Hotel
17,Nikolskoye,RU,64.29,overcast clouds,59.7035,30.7861,Tourist House - Sablino
26,Busselton,AU,53.82,clear sky,-33.65,115.3333,Esplanade Hotel
39,Geraldton,AU,55.81,clear sky,-28.7667,114.6,Ocean Centre Hotel - Stay Beachside in Geraldton!
44,Margate,GB,67.69,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
46,Poli,TZ,55.29,overcast clouds,-3.3333,36.8,Lake Duluti Lodge
47,Port Elizabeth,ZA,57.49,clear sky,-33.918,25.5701,The Vic Boutique Hotel
52,Santo Tirso,PT,67.46,clear sky,41.3426,-8.4775,Cidnay Santo Tirso - Charming Hotel & Executive Center
54,Torbay,CA,58.26,light intensity drizzle,47.6666,-52.7314,See The Sea
58,Port Lincoln,AU,56.86,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
59,Pisco,PE,60.85,few clouds,-13.7,-76.2167,PiscoMar Peru
60,São João da Barra,BR,66.94,clear sky,-21.6403,-41.0511,Pousada Porto Prime
62,Rawson,AR,50.29,few clouds,-43.3002,-65.1023,Complejo Bahia Ballenas
68,Scarborough,GB,62.91,clear sky,54.2797,-0.4044,The Grand Hotel Scarborough
78,Hermanus,ZA,51.8,moderate rain,-34.4187,19.2345,Harbour House Hotel
81,Hofn,IS,51.01,moderate rain,64.2539,-15.2082,Milk Factory
82,Saint-Philippe,RE,64.22,light rain,-21.3585,55.7679,Hôtel Les Embruns Du Baril
84,Nikolskoye,RU,64.29,overcast clouds,59.7035,30.7861,Tourist House - Sablino
85,Souillac,MU,64.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
87,Nome,US,51.87,overcast clouds,64.5011,-165.4064,Aurora Inn & Suites
89,Port Alfred,ZA,61.95,overcast clouds,-33.5906,26.891,Royal St Andrews Hotel
93,Ulundi,ZA,59.11,clear sky,-28.3352,31.4162,Garden Court Ulundi
96,Quatre Cocos,MU,69.1,light rain,-20.2078,57.7625,Constance Belle Mare Plage Mauritius
98,Tuktoyaktuk,CA,53.6,broken clouds,69.4541,-133.0374,Smitty's Bed and Breakfast
104,Geraldton,AU,55.81,clear sky,-28.7667,114.6,Ocean Centre Hotel - Stay Beachside in Geraldton!
105,Gifhorn,DE,69.37,clear sky,52.4833,10.55,Morada Hotel Isetal
