,City,Country,Lat,Lon,MaxTemp,MinTemp,Humidity,Cloudniness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,33.46,33.46,93,40,4.61,scattered clouds
1,Jamestown,US,42.097,-79.2353,71.19,65.95,66,0,6.91,clear sky
2,Atuona,PF,-9.8,-139.0333,76.93,76.93,76,18,23.67,few clouds
3,Hobart,AU,-42.8794,147.3294,53.26,49.86,76,20,4.61,few clouds
4,Chokurdakh,RU,70.6333,147.9167,53.47,53.47,56,73,7.56,broken clouds
6,Punta Arenas,CL,-53.15,-70.9167,33.91,33.12,75,75,9.22,broken clouds
7,Ushuaia,AR,-54.8,-68.3,33.46,33.46,93,40,4.61,scattered clouds
8,Dhidhdhoo,MV,6.8833,73.1,81.68,81.68,81,60,14.05,broken clouds
9,Rikitea,PF,-23.1203,-134.9692,73.24,73.24,69,32,20.92,light rain
10,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,53.6,82,75,12.66,broken clouds
11,Christchurch,NZ,-43.5333,172.6333,48.9,42.48,67,3,3.44,clear sky
12,Biak,ID,-0.9131,122.8766,79.57,79.57,79,95,1.36,overcast clouds
13,Busselton,AU,-33.65,115.3333,53.82,53.82,78,0,15.46,clear sky
14,Sitka,US,57.0531,-135.33,67.89,67.89,68,100,5.75,overcast clouds
16,Qaanaaq,GL,77.484,-69.3632,37.96,37.96,74,100,6.89,overcast clouds
17,Nikolskoye,RU,59.7035,30.7861,64.29,58.78,83,100,6.76,overcast clouds
18,Ternate,ID,0.8,127.4,82.33,82.33,73,93,2.24,overcast clouds
19,Naze,JP,28.3667,129.4833,86.92,86.92,72,91,4.32,overcast clouds
20,Bluff,NZ,-46.6,168.3333,44.8,44.8,68,97,10.47,overcast clouds
21,Ixtapa,MX,20.7,-105.2,85.23,84.22,70,100,9.22,overcast clouds
22,Katsuura,JP,35.1333,140.3,86.02,86.02,76,6,20.74,clear sky
23,Severo-Kuril'sk,RU,50.6789,156.125,57.24,57.24,95,100,10.89,overcast clouds
24,Vakhsh,TJ,37.7149,68.8346,73.62,73.62,43,1,2.24,clear sky
25,Lagos,NG,6.5833,3.75,77.32,77.32,90,100,5.41,overcast clouds
26,Busselton,AU,-33.65,115.3333,53.82,53.82,78,0,15.46,clear sky
27,Vaini,TO,-21.2,-175.2,77.16,77.16,78,75,11.5,broken clouds
28,Horlivka,UA,48.347,38.0542,77.83,77.83,38,100,11.95,light rain
30,Jamestown,US,42.097,-79.2353,71.19,65.95,66,0,6.91,clear sky
31,Lárdos,GR,36.0942,28.0157,82.22,80.94,69,1,5.3,clear sky
32,Lüderitz,NA,-26.6481,15.1594,55.26,55.26,88,1,8.19,clear sky
33,Itarema,BR,-2.9248,-39.9167,76.95,76.95,86,69,13.11,broken clouds
34,Achalpur,IN,21.2572,77.5086,74.16,74.16,93,100,9.55,overcast clouds
36,Ushuaia,AR,-54.8,-68.3,33.46,33.46,93,40,4.61,scattered clouds
38,Kutum,SD,14.2,24.6667,76.46,76.46,64,100,6.71,overcast clouds
39,Geraldton,AU,-28.7667,114.6,55.81,55.81,58,0,25.32,clear sky
40,Mataura,NZ,-46.1927,168.8643,44.47,44.47,59,80,4.25,broken clouds
41,Jamestown,US,42.097,-79.2353,71.19,65.95,66,0,6.91,clear sky
42,Lethem,GY,3.3803,-59.7968,77.04,77.04,83,82,1.48,broken clouds
43,Ushuaia,AR,-54.8,-68.3,33.46,33.46,93,40,4.61,scattered clouds
44,Margate,GB,51.3813,1.3862,67.69,61.88,91,34,3.0,scattered clouds
45,Ushuaia,AR,-54.8,-68.3,33.46,33.46,93,40,4.61,scattered clouds
46,Poli,TZ,-3.3333,36.8,55.29,55.29,91,100,4.47,overcast clouds
47,Port Elizabeth,ZA,-33.918,25.5701,57.49,56.1,96,0,9.22,clear sky
48,Butaritari,KI,3.0707,172.7902,82.09,82.09,75,27,13.2,scattered clouds
